Stock Name,Category,Date,Open,High,Low,Close,Volume,Monthly Return (%),Volatility,Price Change
Apple,Tech Stock,1/31/2015,24.6921,26.5983,23.1942,25.9767,6183265062,0.052024737,13.78619072,1.2846
Apple,Tech Stock,2/28/2015,26.1721,29.7333,25.7344,28.5883,5105550356,0.092319684,15.27924775,2.4162
Apple,Tech Stock,3/31/2015,28.7669,28.9997,27.0679,27.6925,5116049247,-0.03734848,6.715356886,-1.0744
Apple,Tech Stock,4/30/2015,27.7781,29.9476,27.3949,27.8528,4474927927,0.002689169,9.1896134,0.0747
Apple,Tech Stock,5/31/2015,28.0647,29.7157,27.4598,29.1107,4271095334,0.03727102,8.038211704,1.046
Apple,Tech Stock,6/30/2015,29.3259,29.3688,27.8201,28.0303,3930595440,-0.044179377,5.280997344,-1.2956
Apple,Tech Stock,7/31/2015,28.3603,29.7157,26.6436,27.1072,4734986721,-0.044185005,10.83239599,-1.2531
Apple,Tech Stock,8/31/2015,27.1534,27.393,20.6534,25.3135,7164380586,-0.06775947,24.82046447,-1.8399
Apple,Tech Stock,9/30/2015,24.7313,26.2429,24.0997,24.7658,5373679767,0.001394993,8.66594154,0.0345
Apple,Tech Stock,10/31/2015,24.4898,27.2142,24.0879,26.8301,4960426197,0.095562234,12.76572287,2.3403
Apple,Tech Stock,11/30/2015,26.9137,27.7945,25.026,26.675,3331359168,-0.008869089,10.28658267,-0.2387
Apple,Tech Stock,12/31/2015,26.7772,27.0246,23.6322,23.7365,4069410879,-0.113555562,12.66898705,-3.0407
Apple,Tech Stock,1/31/2016,23.1352,23.8671,20.8313,21.9449,5404600278,-0.051449739,13.12199592,-1.1903
Apple,Tech Stock,2/29/2016,21.7505,22.4184,20.9904,21.9176,3379384384,0.007682582,6.565366313,0.1671
Apple,Tech Stock,3/31/2016,22.1354,25.0318,22.0834,24.7066,3194151621,0.116157829,13.31984062,2.5712
Apple,Tech Stock,4/30/2016,24.6576,25.4786,20.9727,21.2488,3592436065,-0.138245409,18.27387905,-3.4088
Apple,Tech Stock,5/31/2016,21.2997,22.9751,20.4057,22.7748,3761128159,0.069254497,12.0630807,1.4751
Apple,Tech Stock,6/30/2016,22.5824,23.2367,20.8686,21.8044,3148129821,-0.034451608,10.48648505,-0.778
Apple,Tech Stock,7/31/2016,21.779,23.8463,21.5236,23.7688,2768228541,0.09136324,10.66486065,1.9898
Apple,Tech Stock,8/31/2016,23.814,25.2765,23.7228,24.3325,2534219868,0.021772907,6.524313429,0.5185
Apple,Tech Stock,9/30/2016,24.3423,26.6406,23.5105,25.9208,4002243553,0.064845968,12.85868632,1.5785
Apple,Tech Stock,10/31/2016,25.8449,27.2172,25.7478,26.0337,2831060362,0.007305116,5.685454384,0.1888
Apple,Tech Stock,11/30/2016,26.0139,26.0907,23.9848,25.4727,3020733181,-0.020804262,8.095287519,-0.5412
Apple,Tech Stock,12/31/2016,25.4366,27.2014,24.9524,26.6945,2494784675,0.049452364,8.841590464,1.2579
Apple,Tech Stock,1/31/2017,26.6898,28.2209,26.4434,27.9712,2290065160,0.048010851,6.659847582,1.2814
Apple,Tech Stock,2/28/2017,29.2765,31.8216,29.2706,31.7114,2351240187,0.083169095,8.713473264,2.4349
Apple,Tech Stock,3/31/2017,31.9196,33.4498,31.7272,33.2532,2324433891,0.041779972,5.396684169,1.3336
Apple,Tech Stock,4/30/2017,33.2652,33.6708,32.4205,33.2513,1570693370,-0.000417854,3.758582543,-0.0139
Apple,Tech Stock,5/31/2017,33.5872,36.413,33.3957,35.5045,2810968427,0.057084246,8.983481803,1.9173
Apple,Tech Stock,6/30/2017,35.6038,36.2568,33.0521,33.4772,2936934946,-0.059729579,9.001005511,-2.1266
Apple,Tech Stock,7/31/2017,33.6728,35.7911,33.1022,34.5675,1805864567,0.026570407,7.985376921,0.8947
