Date,Open,High,Low,Close,Volume
1984-09-30,0.0992653,0.108567,0.0920757,0.0938731,2555589318
1984-10-31,0.0935884,0.102271,0.0842578,0.0929793,4242999795
1984-11-30,0.0935884,0.0992653,0.0818714,0.0923707,4013171025
1984-12-31,0.0923707,0.109471,0.0911623,0.10887,4114347929
1985-01-31,0.10887,0.116364,0.104363,0.108567,7581329243
1985-02-28,0.108567,0.11488,0.0923707,0.0923707,5636668545
1985-03-31,0.0923707,0.0971633,0.0773731,0.082775,5496386908
1985-04-30,0.082775,0.0860848,0.0731795,0.0794751,3415339288
1985-05-31,0.0794751,0.0830794,0.0629845,0.0650669,5524421745
1985-06-30,0.0635839,0.0692804,0.0551866,0.067483,6920385240
1985-07-31,0.0677776,0.0680917,0.0593704,0.0593704,3096870755
1985-08-31,0.0593704,0.0602938,0.0539884,0.0560803,2165819703
1985-09-30,0.0560803,0.0644873,0.0551866,0.0590858,2148374448
1985-10-31,0.0590858,0.0719614,0.0560803,0.0695847,4508385173
1985-11-30,0.0695847,0.0773731,0.0695847,0.0752715,3435158451
1985-12-31,0.0752715,0.0854757,0.0719614,0.0821661,4252709003
1986-01-31,0.0821661,0.0923707,0.0812821,0.0863893,7492475932
1986-02-28,0.0863893,0.0998857,0.0854757,0.0935884,4073668736
1986-03-31,0.0935884,0.11066,0.0905634,0.105571,5078101930
1986-04-30,0.105571,0.122316,0.0980668,0.113095,5314306192
1986-05-31,0.113095,0.140063,0.111267,0.138254,5899440476
1986-06-30,0.138254,0.14636,0.121413,0.134024,4838777419
1986-07-31,0.134024,0.14127,0.112161,0.116933,6777782630
1986-08-31,0.116364,0.142076,0.114253,0.138254,4338814816
1986-09-30,0.138864,0.138864,0.118182,0.125115,4261031792
1986-10-31,0.124821,0.131626,0.120548,0.129584,3553487296
1986-11-30,0.129848,0.154167,0.126558,0.149659,6199663506
1986-12-31,0.149659,0.164087,0.14636,0.151477,5671425779
1987-01-31,0.15118,0.213803,0.149973,0.207547,9846885295
1987-02-28,0.207547,0.266622,0.192836,0.261535,7878751302
1987-03-31,0.262723,0.263656,0.232757,0.241095,7096544499
1987-04-30,0.235705,0.299032,0.233337,0.296351,8113327948
1987-05-31,0.297176,0.30743,0.271396,0.295712,4571550861
1987-06-30,0.297785,0.323882,0.284644,0.30313,4164976133
1987-07-31,0.30531,0.335272,0.273517,0.308933,3656157547
1987-08-31,0.306938,0.406708,0.299318,0.404888,3714561819
1987-09-30,0.410585,0.440578,0.363531,0.42355,3662386153
1987-10-31,0.425533,0.448064,0.207191,0.289527,7830550068
1987-11-30,0.290556,0.300015,0.228513,0.247461,5042264810
1987-12-31,0.251292,0.328124,0.223074,0.314904,5599604303
1988-01-31,0.320561,0.346657,0.286667,0.31131,7408877585
1988-02-29,0.313061,0.328124,0.283112,0.322448,4011276918
1988-03-31,0.324176,0.358019,0.290556,0.300015,5813761596
1988-04-30,0.29811,0.31792,0.288582,0.30743,3927278764
1988-05-31,0.305613,0.323362,0.280401,0.31131,3142017723
1988-06-30,0.31131,0.350595,0.309148,0.346657,4209269398
1988-07-31,0.348532,0.356302,0.316733,0.332926,2603656868
1988-08-31,0.333536,0.343121,0.294191,0.299032,3159649601
1988-09-30,0.29811,0.33164,0.283112,0.324176,3644327676
1988-10-31,0.322448,0.324176,0.281325,0.289527,4243706349
